ID_taxis,yellow,payment_type,total_amount,PU_ID_borough,DO_ID_borough,pickup_year,pickup_month,pickup_day,pickup_hour
368,0,5.0,14.17,5,5,2020,3,6,15
369,0,5.0,20.99,5,5,2020,3,7,12
370,0,5.0,10.84,2,3,2020,3,7,19
371,0,5.0,38.75,2,5,2020,3,8,7
372,0,5.0,9.3,5,5,2020,3,8,14
373,0,5.0,11.3,5,5,2020,3,8,15
374,0,5.0,14.32,5,5,2020,3,9,7
375,0,5.0,22.99,5,5,2020,3,9,7
376,0,5.0,40.52,5,3,2020,3,9,8
377,0,5.0,31.43,1,5,2020,3,9,10
378,0,5.0,8.3,5,5,2020,3,9,13
379,0,5.0,11.39,2,2,2020,3,9,14
380,0,5.0,12.88,5,5,2020,3,10,8
381,0,5.0,78.26,5,3,2020,3,10,12
382,0,1.0,17.05,3,3,2020,8,4,9
383,0,1.0,33.55,3,3,2020,8,4,10
384,0,2.0,11.3,2,2,2020,8,4,14
385,0,2.0,12.3,1,1,2020,8,4,18
386,0,2.0,8.3,1,1,2020,8,4,18
387,0,2.0,19.1,3,2,2020,8,5,7
388,0,1.0,5.3,3,3,2020,8,5,8
389,0,2.0,5.3,3,3,2020,8,5,10
390,0,2.0,14.8,3,3,2020,8,5,10
391,0,1.0,38.16,1,6,2020,8,5,10
392,0,2.0,7.3,3,3,2020,8,5,10
393,0,2.0,3.8,3,3,2020,8,5,11
394,0,2.0,17.8,5,5,2020,8,5,12
395,0,2.0,20.3,3,2,2020,8,5,14
396,0,1.0,88.67,5,2,2020,8,5,16
397,0,2.0,14.8,3,3,2020,8,5,16
398,0,2.0,13.3,3,3,2020,8,5,17
399,0,1.0,29.38,3,3,2020,8,5,17
400,0,1.0,13.8,3,3,2020,8,5,18
401,0,1.0,19.56,5,5,2020,8,5,20
402,0,1.0,23.8,3,2,2020,8,6,9
403,0,1.0,64.67,2,1,2020,8,6,10
404,0,1.0,8.8,3,3,2020,8,6,11
405,0,1.0,9.8,3,3,2020,8,6,12
406,0,2.0,25.8,3,2,2020,8,6,14
407,0,2.0,7.3,3,3,2020,8,6,14
408,0,2.0,9.8,3,3,2020,8,6,14
409,0,2.0,38.17,1,3,2020,8,6,16
410,0,1.0,9.96,5,5,2020,8,6,19
411,0,1.0,43.8,1,1,2020,8,6,20
412,0,1.0,59.17,2,1,2020,8,7,6
413,0,1.0,8.3,3,3,2020,8,7,6
414,0,1.0,27.0,1,6,2020,8,7,8
415,0,1.0,13.3,5,5,2020,8,7,10
416,0,1.0,11.8,3,3,2020,8,7,11
417,0,2.0,11.3,3,2,2020,8,7,11
418,0,2.0,19.3,3,2,2020,8,7,12
419,0,2.0,8.3,3,3,2020,8,7,12
420,0,2.0,8.8,3,3,2020,8,7,15
421,0,2.0,7.8,3,3,2020,8,7,15
422,0,2.0,6.3,3,3,2020,8,7,16
423,0,1.0,41.33,3,3,2020,8,7,16
424,0,1.0,12.0,5,5,2020,8,7,18
425,0,2.0,26.92,3,1,2020,8,8,6
426,0,1.0,30.42,1,3,2020,8,8,7
427,0,2.0,5.8,3,3,2020,8,8,11
428,0,1.0,22.26,3,3,2020,8,8,11
429,0,1.0,0.0,1,1,2020,8,8,13
430,0,1.0,14.46,3,3,2020,8,8,15
431,0,1.0,15.8,1,1,2020,8,8,16
432,0,1.0,29.0,5,5,2020,8,8,16
433,0,2.0,7.3,1,1,2020,8,8,16
434,0,2.0,12.3,3,2,2020,8,8,18
435,0,2.0,10.3,3,3,2020,8,8,20
436,0,1.0,97.29,1,4,2020,8,8,20
437,0,2.0,35.05,3,5,2020,8,9,7
438,0,2.0,7.8,1,1,2020,8,9,8
439,0,2.0,15.8,1,1,2020,8,9,9
440,0,1.0,20.3,1,1,2020,8,9,9
441,0,1.0,8.76,3,3,2020,8,9,12
442,0,2.0,9.8,3,3,2020,8,9,13
443,0,1.0,11.16,5,5,2020,8,9,20
444,0,1.0,21.0,2,2,2020,8,9,20
445,0,2.0,11.3,3,3,2020,8,10,7
446,0,2.0,13.8,3,3,2020,8,10,8
447,0,2.0,14.8,1,1,2020,8,10,10
448,0,1.0,43.0,5,5,2020,8,10,11
449,0,1.0,11.16,3,3,2020,8,10,15
450,0,5.0,34.86,3,3,2020,8,4,6
451,0,5.0,22.11,1,1,2020,8,4,10
452,0,5.0,23.11,5,5,2020,8,5,8
453,0,5.0,35.82,5,3,2020,8,5,9
454,0,5.0,25.5,3,3,2020,8,5,10
455,0,5.0,24.42,5,5,2020,8,5,11
456,0,5.0,31.17,2,2,2020,8,5,11
457,0,5.0,55.73,5,1,2020,8,5,13
458,0,5.0,57.67,3,1,2020,8,5,16
459,0,5.0,16.12,1,1,2020,8,6,8
460,0,5.0,30.32,2,2,2020,8,6,10
461,0,5.0,21.57,2,2,2020,8,6,10
462,0,5.0,56.45,2,3,2020,8,7,12
463,0,5.0,37.9,3,2,2020,8,7,15
464,0,5.0,28.64,5,5,2020,8,7,17
465,0,5.0,32.5,5,5,2020,8,7,20
466,0,5.0,22.0,3,3,2020,8,8,9
467,0,5.0,34.09,1,1,2020,8,8,9
468,0,5.0,22.87,5,5,2020,8,8,14
469,0,5.0,22.78,5,5,2020,8,8,17
470,0,5.0,37.42,5,3,2020,8,9,6
471,0,5.0,30.32,2,2,2020,8,9,8
472,0,5.0,18.48,5,5,2020,8,9,10
473,0,5.0,23.85,2,2,2020,8,10,10
474,0,5.0,32.5,3,2,2020,8,10,11
475,0,5.0,68.09,2,1,2020,8,10,13
476,0,5.0,50.0,5,3,2020,8,10,13
477,0,5.0,21.3,3,2,2020,8,10,13
478,0,5.0,24.42,5,5,2020,8,10,13
479,0,5.0,39.11,1,3,2020,8,10,14
480,0,5.0,61.93,3,5,2020,8,10,18
481,0,5.0,18.5,1,1,2020,8,10,18
482,0,2.0,6.3,3,3,2020,12,19,11
483,0,1.0,17.0,3,3,2020,12,19,11
484,0,2.0,12.8,5,5,2020,12,19,15
485,0,1.0,23.8,1,5,2020,12,19,19
486,0,2.0,7.3,3,3,2020,12,19,19
487,0,1.0,54.55,1,5,2020,12,20,8
488,0,1.0,41.3,1,6,2020,12,20,9
489,0,1.0,96.67,2,5,2020,12,20,12
490,0,2.0,9.8,3,3,2020,12,20,13
491,0,1.0,10.0,5,5,2020,12,20,13
492,0,1.0,15.06,3,3,2020,12,20,13
493,0,1.0,29.15,5,5,2020,12,20,14
494,0,2.0,6.3,3,3,2020,12,20,15
495,0,1.0,8.15,1,1,2020,12,20,18
496,0,1.0,12.0,5,5,2020,12,21,8
497,0,1.0,14.3,5,5,2020,12,21,9
498,0,2.0,6.3,1,1,2020,12,21,9
499,0,2.0,7.8,3,3,2020,12,21,12
500,0,1.0,11.62,3,3,2020,12,21,16
501,0,2.0,16.8,5,5,2020,12,21,17
502,0,1.0,62.05,4,4,2020,12,21,17
503,0,1.0,25.56,5,5,2020,12,21,19
504,0,1.0,17.76,3,3,2020,12,21,19
505,0,2.0,6.8,3,3,2020,12,21,20
506,0,1.0,24.55,3,3,2020,12,22,7
507,0,2.0,7.8,5,5,2020,12,22,12
508,0,2.0,10.3,1,1,2020,12,22,13
509,0,1.0,14.3,1,1,2020,12,22,13
510,0,1.0,18.36,5,5,2020,12,22,13
511,0,2.0,10.3,3,3,2020,12,22,14
512,0,1.0,26.0,3,3,2020,12,22,16
513,0,1.0,16.8,3,3,2020,12,22,17
514,0,1.0,17.29,1,1,2020,12,22,17
515,0,1.0,16.25,3,3,2020,12,22,18
516,0,2.0,23.3,2,6,2020,12,22,18
517,0,1.0,13.8,1,1,2020,12,22,18
