ID_taxis,Taxis,payment_type,total_amount,PU_ID_borough,DO_ID_borough,pickup_hour,date
314,Green,1.0,20.05,2,3,19,6/3/2020
315,Green,1.0,22.56,5,5,8,7/3/2020
316,Green,1.0,18.35,5,3,14,7/3/2020
317,Green,1.0,69.66,5,3,16,7/3/2020
318,Green,2.0,8.3,1,1,17,7/3/2020
319,Green,2.0,11.8,1,1,17,7/3/2020
320,Green,1.0,37.26,3,3,18,7/3/2020
321,Green,2.0,4.8,3,3,18,7/3/2020
322,Green,1.0,25.3,3,3,18,7/3/2020
323,Green,1.0,20.76,5,5,18,7/3/2020
324,Green,1.0,9.3,5,5,20,7/3/2020
325,Green,1.0,15.06,3,3,14,8/3/2020
326,Green,1.0,18.3,5,5,16,8/3/2020
327,Green,1.0,18.66,3,3,18,8/3/2020
328,Green,1.0,14.55,3,3,18,8/3/2020
329,Green,1.0,7.3,5,5,20,8/3/2020
330,Green,2.0,7.3,5,5,9,9/3/2020
331,Green,2.0,7.8,3,3,9,9/3/2020
332,Green,1.0,30.66,3,3,10,9/3/2020
333,Green,1.0,24.66,3,3,12,9/3/2020
334,Green,1.0,20.87,5,3,12,9/3/2020
335,Green,1.0,6.89,3,3,15,9/3/2020
336,Green,2.0,5.8,5,5,15,9/3/2020
337,Green,1.0,31.26,3,3,17,9/3/2020
338,Green,1.0,10.0,3,3,17,9/3/2020
339,Green,1.0,7.9,1,1,18,9/3/2020
340,Green,1.0,8.97,1,1,19,9/3/2020
341,Green,2.0,10.8,1,1,19,9/3/2020
342,Green,1.0,8.76,1,1,20,9/3/2020
343,Green,2.0,26.42,3,1,6,10/3/2020
344,Green,1.0,15.96,3,3,7,10/3/2020
345,Green,1.0,7.3,2,2,8,10/3/2020
346,Green,2.0,8.3,3,3,8,10/3/2020
347,Green,1.0,36.3,3,5,10,10/3/2020
348,Green,2.0,9.8,3,3,10,10/3/2020
349,Green,2.0,9.8,3,3,14,10/3/2020
350,Green,1.0,10.56,1,1,15,10/3/2020
351,Green,2.0,13.55,3,3,15,10/3/2020
352,Green,1.0,15.66,3,3,16,10/3/2020
353,Green,1.0,9.8,3,3,15,10/3/2020
354,Green,1.0,11.76,3,3,16,10/3/2020
355,Green,1.0,8.16,3,3,19,10/3/2020
356,Green,5.0,34.95,5,3,7,4/3/2020
357,Green,5.0,13.8,5,5,9,4/3/2020
358,Green,5.0,17.82,1,1,9,4/3/2020
359,Green,5.0,22.4,2,2,11,4/3/2020
360,Green,5.0,16.47,5,5,11,4/3/2020
361,Green,5.0,8.3,2,2,12,4/3/2020
362,Green,5.0,21.5,5,5,14,4/3/2020
363,Green,5.0,16.68,3,2,8,5/3/2020
364,Green,5.0,20.69,5,5,9,6/3/2020
365,Green,5.0,10.8,5,5,11,6/3/2020
366,Green,5.0,22.45,5,5,14,6/3/2020
367,Green,5.0,12.3,5,5,14,6/3/2020
368,Green,5.0,14.17,5,5,15,6/3/2020
369,Green,5.0,20.99,5,5,12,7/3/2020
370,Green,5.0,10.84,2,3,19,7/3/2020
371,Green,5.0,38.75,2,5,7,8/3/2020
372,Green,5.0,9.3,5,5,14,8/3/2020
373,Green,5.0,11.3,5,5,15,8/3/2020
374,Green,5.0,14.32,5,5,7,9/3/2020
375,Green,5.0,22.99,5,5,7,9/3/2020
376,Green,5.0,40.52,5,3,8,9/3/2020
377,Green,5.0,31.43,1,5,10,9/3/2020
378,Green,5.0,8.3,5,5,13,9/3/2020
379,Green,5.0,11.39,2,2,14,9/3/2020
380,Green,5.0,12.88,5,5,8,10/3/2020
381,Green,5.0,78.26,5,3,12,10/3/2020
382,Green,1.0,17.05,3,3,9,4/8/2020
383,Green,1.0,33.55,3,3,10,4/8/2020
384,Green,2.0,11.3,2,2,14,4/8/2020
385,Green,2.0,12.3,1,1,18,4/8/2020
386,Green,2.0,8.3,1,1,18,4/8/2020
387,Green,2.0,19.1,3,2,7,5/8/2020
388,Green,1.0,5.3,3,3,8,5/8/2020
389,Green,2.0,5.3,3,3,10,5/8/2020
390,Green,2.0,14.8,3,3,10,5/8/2020
391,Green,1.0,38.16,1,6,10,5/8/2020
392,Green,2.0,7.3,3,3,10,5/8/2020
393,Green,2.0,3.8,3,3,11,5/8/2020
394,Green,2.0,17.8,5,5,12,5/8/2020
395,Green,2.0,20.3,3,2,14,5/8/2020
396,Green,1.0,88.67,5,2,16,5/8/2020
397,Green,2.0,14.8,3,3,16,5/8/2020
398,Green,2.0,13.3,3,3,17,5/8/2020
399,Green,1.0,29.38,3,3,17,5/8/2020
400,Green,1.0,13.8,3,3,18,5/8/2020
401,Green,1.0,19.56,5,5,20,5/8/2020
402,Green,1.0,23.8,3,2,9,6/8/2020
403,Green,1.0,64.67,2,1,10,6/8/2020
404,Green,1.0,8.8,3,3,11,6/8/2020
405,Green,1.0,9.8,3,3,12,6/8/2020
406,Green,2.0,25.8,3,2,14,6/8/2020
407,Green,2.0,7.3,3,3,14,6/8/2020
408,Green,2.0,9.8,3,3,14,6/8/2020
409,Green,2.0,38.17,1,3,16,6/8/2020
410,Green,1.0,9.96,5,5,19,6/8/2020
411,Green,1.0,43.8,1,1,20,6/8/2020
412,Green,1.0,59.17,2,1,6,7/8/2020
413,Green,1.0,8.3,3,3,6,7/8/2020
414,Green,1.0,27.0,1,6,8,7/8/2020
415,Green,1.0,13.3,5,5,10,7/8/2020
416,Green,1.0,11.8,3,3,11,7/8/2020
417,Green,2.0,11.3,3,2,11,7/8/2020
418,Green,2.0,19.3,3,2,12,7/8/2020
419,Green,2.0,8.3,3,3,12,7/8/2020
420,Green,2.0,8.8,3,3,15,7/8/2020
421,Green,2.0,7.8,3,3,15,7/8/2020
422,Green,2.0,6.3,3,3,16,7/8/2020
423,Green,1.0,41.33,3,3,16,7/8/2020
424,Green,1.0,12.0,5,5,18,7/8/2020
425,Green,2.0,26.92,3,1,6,8/8/2020
426,Green,1.0,30.42,1,3,7,8/8/2020
427,Green,2.0,5.8,3,3,11,8/8/2020
428,Green,1.0,22.26,3,3,11,8/8/2020
429,Green,1.0,0.0,1,1,13,8/8/2020
430,Green,1.0,14.46,3,3,15,8/8/2020
431,Green,1.0,15.8,1,1,16,8/8/2020
432,Green,1.0,29.0,5,5,16,8/8/2020
433,Green,2.0,7.3,1,1,16,8/8/2020
434,Green,2.0,12.3,3,2,18,8/8/2020
435,Green,2.0,10.3,3,3,20,8/8/2020
436,Green,1.0,97.29,1,4,20,8/8/2020
437,Green,2.0,35.05,3,5,7,9/8/2020
438,Green,2.0,7.8,1,1,8,9/8/2020
439,Green,2.0,15.8,1,1,9,9/8/2020
440,Green,1.0,20.3,1,1,9,9/8/2020
441,Green,1.0,8.76,3,3,12,9/8/2020
442,Green,2.0,9.8,3,3,13,9/8/2020
443,Green,1.0,11.16,5,5,20,9/8/2020
444,Green,1.0,21.0,2,2,20,9/8/2020
445,Green,2.0,11.3,3,3,7,10/8/2020
446,Green,2.0,13.8,3,3,8,10/8/2020
447,Green,2.0,14.8,1,1,10,10/8/2020
448,Green,1.0,43.0,5,5,11,10/8/2020
449,Green,1.0,11.16,3,3,15,10/8/2020
450,Green,5.0,34.86,3,3,6,4/8/2020
451,Green,5.0,22.11,1,1,10,4/8/2020
452,Green,5.0,23.11,5,5,8,5/8/2020
453,Green,5.0,35.82,5,3,9,5/8/2020
454,Green,5.0,25.5,3,3,10,5/8/2020
455,Green,5.0,24.42,5,5,11,5/8/2020
456,Green,5.0,31.17,2,2,11,5/8/2020
457,Green,5.0,55.73,5,1,13,5/8/2020
458,Green,5.0,57.67,3,1,16,5/8/2020
459,Green,5.0,16.12,1,1,8,6/8/2020
460,Green,5.0,30.32,2,2,10,6/8/2020
461,Green,5.0,21.57,2,2,10,6/8/2020
462,Green,5.0,56.45,2,3,12,7/8/2020
463,Green,5.0,37.9,3,2,15,7/8/2020
464,Green,5.0,28.64,5,5,17,7/8/2020
465,Green,5.0,32.5,5,5,20,7/8/2020
466,Green,5.0,22.0,3,3,9,8/8/2020
467,Green,5.0,34.09,1,1,9,8/8/2020
468,Green,5.0,22.87,5,5,14,8/8/2020
469,Green,5.0,22.78,5,5,17,8/8/2020
